id,file_name_ja,track_ja,file_name_en,track_en,category_id
1,sound_track_ja_001.mp3,事前に予約をされていますか？,sound_track_en_001.mp3,Do you have a reservation?,1
2,sound_track_ja_002.mp3,お名前か予約番号をお伺いできますか？,sound_track_en_002.mp3,"May I have your name or reservation number, please?",1
3,sound_track_ja_003.mp3,車の大きさはどのくらいがよろしいでしょうか？,sound_track_en_003.mp3,Which size of the car would you like to rent?,1
4,sound_track_ja_004.mp3,お荷物の大きさはどのくらいですか？大きすぎると積み込めない可能性があります。,sound_track_en_004.mp3,"How large is your luggage?If they're too large, they can't be loaded.",1
5,sound_track_ja_005.mp3,実際に車を確認していただけますか？,sound_track_en_005.mp3,Could you check the car actually?,1
6,sound_track_ja_006.mp3,車両のご用意が可能かどうかお調べいたしますので少々お待ちください。,sound_track_en_006.mp3,"We'll check if we can offer the vehicle, so please wait a minutes.",1
7,sound_track_ja_007.mp3,車種が替わりますので、お支払い金額も変わります。,sound_track_en_007.mp3,Amount of payment will be change because you have changed the type of vehicle.,1
8,sound_track_ja_008.mp3,ドライブの目的地はどちらですか？,sound_track_en_008.mp3,Where is your destination of your driving?,1
9,sound_track_ja_009.mp3,何日ほど借りられるご予定でしょうか？,sound_track_en_009.mp3,How long are you going to rent the car?,1
10,sound_track_ja_010.mp3,禁煙車と喫煙車はどちらをご希望されますか？,sound_track_en_010.mp3,Would you like to smoking or no smoking car?,1
11,sound_track_ja_011.mp3,どちらの店舗で返却されるご予定でしょうか？,sound_track_en_011.mp3,Where are you going to return the car?,1
12,sound_track_ja_012.mp3,営業時間外の返却はできますか？,sound_track_en_012.mp3,Can I return the car outside office hours?,1
13,sound_track_ja_013.mp3,あいにく対応はできません。,sound_track_en_013.mp3,"We're sorry, but you can't do it.",1
14,sound_track_ja_014.mp3,検索時のリストと地図は日本語で表記されます。,sound_track_en_014.mp3,"When you set destination,the list and map are written by Japanese.",1
15,sound_track_ja_015.mp3,ナビの音声・ナビ表記は英語・中国語・韓国語に切り替えられます。,sound_track_en_015.mp3,"We can change the guidance system and map into English, Chinese or Korean. ",1
16,sound_track_ja_016.mp3,備品の提供ができますがご必要でしょうか？,sound_track_en_016.mp3,We can offer you optional equipment. Would you like to need them?,2
17,sound_track_ja_017.mp3,タイヤチェーンは1貸出あたり税込み1620円です。,sound_track_en_017.mp3,The rental fee of tire chain is 1620 yen with tax per vehicle.,2
18,sound_track_ja_018.mp3,スタッドレスタイヤは1日あたり税込み1620円です。,sound_track_en_018.mp3,The rental fee of snow tires is 1620 yen with tax per one day.,2
19,sound_track_ja_019.mp3,一部の地域と車種はスタッドレスタイヤの取り扱いがありません。,sound_track_en_019.mp3,"Some type of car and in some area,we can't offer snow tires.　",2
20,sound_track_ja_020.mp3,チャイルドシートは1日あたり税込み540円です。,sound_track_en_020.mp3,The rental fee of child safety seat is 540 yen with tax per one day.,2
21,sound_track_ja_021.mp3,シートレンタル代の上限は1台につき1080円です。,sound_track_en_021.mp3,The rental fee of child safety seats are limited to 1080 yen per one seat.,2
